Year: 2008  Month: 09  ID: BPT  ARGOS:  8921  Name: Bonaparte Point     
Lat: 64.78S  Lon:  64.07W  Elev:    8m
2008 255  9 11 1600    0.9 1003.3   16.1  278.0   92.0   -4.3
2008 255  9 11 1700  444.0  444.0  444.0  444.0  444.0  444.0
2008 255  9 11 1800    1.2 1003.6   15.6  272.0   89.6   -3.8
2008 255  9 11 1900    1.1 1002.8   14.6  269.0   92.0   -1.6
2008 255  9 11 2000    1.3 1003.0   15.5  266.0   91.7   -2.6
2008 255  9 11 2100    1.2 1003.3   13.8  268.0   91.5   -1.6
2008 255  9 11 2200    1.5 1003.5   16.1  265.0  444.0   -1.9
2008 255  9 11 2300    1.7 1004.0   16.4  263.0   88.0   -2.3
2008 256  9 12 0000    1.4 1004.0   17.7  259.0   91.0   -1.9
2008 256  9 12 0100    1.7 1004.5   17.0  266.0   90.7   -2.7
2008 256  9 12 0200    1.7 1004.1   14.3  261.0   92.0   -1.9
2008 256  9 12 0300    1.1 1002.7   11.8  242.0   93.6   -1.9
2008 256  9 12 0400    0.9 1001.1    8.6  238.0   89.9   -1.7
2008 256  9 12 0500   -0.1  999.2    6.2  194.0   97.8   -1.5
2008 256  9 12 0600   -0.5  997.9    3.9  184.0   98.0   -1.6
2008 256  9 12 0700    0.1  998.0    2.6  174.0   96.8   -1.5
2008 256  9 12 0800   -1.1  996.5    1.9   34.0   99.0   -1.6
2008 256  9 12 0900   -1.1  995.7    2.5    7.0   99.1   -1.6
2008 256  9 12 1000   -1.4  995.3    3.5   79.0   99.0   -2.3
2008 256  9 12 1100   -1.5  994.7    2.1   35.0   99.0   -4.6
2008 256  9 12 1200   -1.3  996.2    1.2   97.0   99.0   -4.7
2008 256  9 12 1300   -1.1  998.0    1.6  243.0   98.7   -4.4
2008 256  9 12 1400   -1.0  999.9    4.7  188.0   98.1   -3.8
2008 256  9 12 1500   -1.5  999.4    2.5  232.0  444.0   -4.9
2008 256  9 12 1600   -1.3 1000.2    4.2  236.0   99.0   -5.0
2008 256  9 12 1700   -1.0 1001.1    3.5  242.0   95.0   -4.2
2008 256  9 12 1800    0.0 1001.7    6.6  232.0   85.0   -1.8
2008 256  9 12 1900   -0.6 1000.4    8.1  240.0  444.0   -2.2
2008 256  9 12 2000    0.3 1000.7    7.4  255.0   81.2   -1.8
2008 256  9 12 2100    0.6 1000.9    6.7  251.0   79.0   -1.9
2008 256  9 12 2200    0.6 1000.4    6.8  252.0   81.1   -1.7
2008 256  9 12 2300   -0.4  997.9    6.6  238.0   84.0   -1.5
2008 257  9 13 0000    0.7 1000.0    8.9  279.0   76.6   -1.6
2008 257  9 13 0100    0.9 1001.4   11.5  266.0   79.0   -1.9
2008 257  9 13 0200    1.1 1002.2   10.1  284.0   76.0   -1.8
2008 257  9 13 0300    1.4 1003.0    8.9  284.0   78.0   -1.9
2008 257  9 13 0400    0.8 1002.2   12.6  269.0   84.2   -1.9
2008 257  9 13 0500    0.9 1002.1   13.5  274.0   80.9   -2.0
2008 257  9 13 0600    0.9 1002.5   13.6  278.0   84.0   -1.9
2008 257  9 13 0700    0.9 1002.5   15.0  278.0   84.4   -1.8
2008 257  9 13 0800    0.9 1002.4   15.8  279.0   85.7   -2.1
2008 257  9 13 0900    0.7 1001.9   14.5  282.0   87.1   -5.6
2008 257  9 13 1000    0.7 1001.6   16.4  280.0   92.0   -5.4
2008 257  9 13 1100    0.8 1001.4   18.0  282.0   88.4   -7.1
2008 257  9 13 1200    0.5 1001.0   16.8  283.0   87.1   -9.3
2008 257  9 13 1300   -0.1  444.0   13.9  266.0  444.0   -7.8
2008 257  9 13 1400    0.4 1001.0   11.3  251.0  444.0   -2.6
2008 257  9 13 1500    0.1 1001.4    7.8  240.0   95.0   -1.9
