Year: 2009  Month: 07  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
2009 196  7 15 0100  -25.5  984.1    1.0  169.0  444.0  444.0
2009 196  7 15 0200  -21.5  984.0    1.2  100.0  444.0  444.0
2009 196  7 15 0300  -19.8  983.4    1.5  222.0  444.0  444.0
2009 196  7 15 0400  -20.6  982.6    1.0  115.0  444.0  444.0
2009 196  7 15 0500  -21.5  982.3    2.0  307.0  444.0  444.0
2009 196  7 15 0600  -20.1  981.9    0.7  132.0  444.0  444.0
2009 196  7 15 0700  -16.1  981.5    2.9  155.0  444.0  444.0
2009 196  7 15 0800  -16.6  980.5    4.9  205.0  444.0  444.0
2009 196  7 15 0900  -18.5  980.2    2.7  166.0  444.0  444.0
2009 196  7 15 1000  -21.4  980.3    2.5  149.0  444.0  444.0
2009 196  7 15 1100  -21.5  979.9    2.0  179.0  444.0  444.0
2009 196  7 15 1200  -18.5  980.0    2.0  174.0  444.0  444.0
2009 196  7 15 1300  -23.0  979.8    7.1  166.0  444.0  444.0
2009 196  7 15 1400  -19.5  979.2    7.8  149.0  444.0  444.0
2009 196  7 15 1500  -23.8  979.3    5.9  111.0  444.0  444.0
2009 196  7 15 1600  -22.8  979.5    7.1  149.0  444.0  444.0
2009 196  7 15 1700  -20.8  979.1    5.6  156.0  444.0  444.0
2009 196  7 15 1800  -20.0  979.3    5.1  163.0  444.0  444.0
2009 196  7 15 1900  -19.5  979.3    4.2  159.0  444.0  444.0
2009 196  7 15 2000  -19.6  979.0    2.9  148.0  444.0  444.0
2009 196  7 15 2100  -18.5  979.0    2.5  179.0  444.0  444.0
2009 196  7 15 2200  -19.4  978.8    2.2  150.0  444.0  444.0
2009 196  7 15 2300  -22.1  978.4    4.7  135.0  444.0  444.0
2009 197  7 16 0000  -21.9  978.5    4.9  129.0  444.0  444.0
2009 197  7 16 0100  -20.9  978.0    5.4  138.0  444.0  444.0
2009 197  7 16 0200  -20.1  978.1    5.1  132.0  444.0  444.0
2009 197  7 16 0300  -19.8  978.1    5.9  139.0  444.0  444.0
