Year: 2004  Month: 02  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.83W  Elev:   10m
2004  43  2 12 1700  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 1800  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 1900    2.3  444.0   18.5   59.0   89.3  444.0
2004  43  2 12 2000  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 2100  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 2200  444.0  444.0   19.1   58.0   89.4  444.0
2004  43  2 12 2300  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 0100  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 0200    1.4  999.7   11.2   58.0   90.8  444.0
2004  44  2 13 0300  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 0400    1.4  444.0  444.0  444.0   91.4  444.0
2004  44  2 13 0500    1.3  444.0   12.6   57.0   91.8  444.0
2004  44  2 13 0600  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 0700    1.1 1001.1   10.7   57.0   92.7  444.0
2004  44  2 13 0800  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 0900    0.8 1001.8  444.0  444.0   93.6  444.0
2004  44  2 13 1000  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 1100  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 1200    0.8 1002.5    6.5   55.0   94.5  444.0
2004  44  2 13 1300  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 1400    0.9 1002.5    8.2   56.0   95.1  444.0
2004  44  2 13 1500    0.8  444.0    7.2   56.0   95.3  444.0
2004  44  2 13 1600  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 1700  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 1800    0.8 1001.8   10.4   56.0   95.6  444.0
2004  44  2 13 1900    0.6  444.0  444.0  444.0   95.6  444.0
2004  44  2 13 2000  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 2100    0.3 1001.1  444.0  444.0   96.0  444.0
2004  44  2 13 2200  444.0  444.0  444.0  444.0  444.0  444.0
2004  44  2 13 2300    1.0  444.0   10.6   57.0   95.9  444.0
2004  45  2 14 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 0100  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 0200    1.7  995.6   15.0   59.0   95.7  444.0
2004  45  2 14 0300  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 0400  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 0500    1.3  444.0   17.7   59.0   96.0  444.0
2004  45  2 14 0600  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 0700    1.1  992.8   15.9   58.0   96.0  444.0
2004  45  2 14 0800    1.0  444.0   12.3   58.0   96.0  444.0
2004  45  2 14 0900  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 1000  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 1100  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 1200  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 1300    0.5  444.0    8.1   55.0   96.8  444.0
2004  45  2 14 1400  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 1500    0.2  990.1    3.3  346.0   97.2  444.0
2004  45  2 14 1600  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 1700  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 1800  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 1900    0.5  990.1    5.0  324.0  444.0  444.0
2004  45  2 14 2000  444.0  444.0  444.0  444.0  444.0  444.0
2004  45  2 14 2100    0.8  990.8    7.3  251.0   94.3  444.0
2004  45  2 14 2200    1.4  444.0    7.1  331.0   93.5  444.0
2004  45  2 14 2300  444.0  444.0  444.0  444.0  444.0  444.0
2004  46  2 15 0000    1.3  992.2    3.9  317.0   92.2  444.0
2004  46  2 15 0100  444.0  444.0  444.0  444.0  444.0  444.0
2004  46  2 15 0200  444.0  444.0  444.0  444.0  444.0  444.0
2004  46  2 15 0300    0.5  444.0    6.5  253.0   90.5  444.0
2004  46  2 15 0400    0.2  444.0    6.6  314.0   89.9  444.0
2004  46  2 15 0500   -0.2  993.5    9.4  343.0   89.3  444.0
2004  46  2 15 0600  444.0  444.0  444.0  444.0  444.0  444.0
2004  46  2 15 0700   -0.8  993.5    9.8    7.0   87.7  444.0
2004  46  2 15 0800   -0.7  993.5    6.1   46.0   87.1  444.0
2004  46  2 15 0900  444.0  444.0  444.0  444.0  444.0  444.0
2004  46  2 15 1000  444.0  444.0  444.0  444.0  444.0  444.0
2004  46  2 15 1100    0.0  993.5    1.5   74.0   85.7  444.0
2004  46  2 15 1200  444.0  444.0  444.0  444.0  444.0  444.0
