Year: 2002  Month: 11  ID: PTM  ARGOS:  8909  Name: Port Martin         
Lat: 66.82S  Lon: 141.40E  Elev:   39m
2002 319 11 15 1800  444.0  444.0  444.0  444.0  444.0  444.0
2002 319 11 15 1900   -9.4  987.5  444.0  444.0   52.7  444.0
2002 319 11 15 2000   -8.5  987.5  444.0  444.0   52.2  444.0
2002 319 11 15 2100   -8.4  988.1  444.0  444.0   53.1  444.0
2002 319 11 15 2200   -7.6  988.7  444.0  444.0   52.2  444.0
2002 319 11 15 2300  444.0  444.0  444.0  444.0  444.0  444.0
2002 320 11 16 0000   -6.1  989.0  444.0  444.0   53.1  444.0
2002 320 11 16 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 320 11 16 0200   -4.5  990.1  444.0  444.0   53.6  444.0
2002 320 11 16 0300   -3.5  991.0  444.0  444.0   54.0  444.0
2002 320 11 16 0400   -3.8  990.7  444.0  444.0   54.0  444.0
2002 320 11 16 0500   -3.2  990.3  444.0  444.0   54.4  444.0
2002 320 11 16 0600   -2.9  989.9  444.0  444.0   54.4  444.0
